rank,expert_id,fisher_score
0,1098,5.88781379511086
1,4076,2.0574011774426197
2,2967,1.2816826466230036
3,1833,0.4180535430605922
4,2106,0.2111464794885317
5,563,0.19596600214591647
6,2759,0.15154461389473242
7,511,0.13275702116123872
8,2522,0.12844197152607822
9,2907,0.12069692619516045
10,130,0.11413516956930841
11,704,0.09821829859934093
12,2313,0.09793582560975185
13,3826,0.09552656849450483
14,1639,0.09077156649742807
15,1367,0.08347113725423834
16,3620,0.0833866299081292
17,2132,0.07336761592933211
18,4072,0.07220618817158558
19,2979,0.06584432244797675
20,1280,0.06072587798803134
21,3612,0.056761204540766705
22,531,0.05599343922941621
23,272,0.055956617059092106
24,3963,0.05496215085864163
25,3186,0.05302862789365883
26,2714,0.04488475360796498
27,4083,0.04219619643358682
28,2935,0.042186422181022996
29,3107,0.041770741630498084
30,3791,0.039379404126237826
31,1579,0.03896922635957267
32,1363,0.034485877344857446
33,398,0.03226949843249133
34,2472,0.030333377890393996
35,1875,0.030179532235783846
36,2817,0.029584238932302175
37,1249,0.028190148588960212
38,83,0.028003992145221757
39,1081,0.025931957807158443
40,2905,0.024756470201024446
41,148,0.02419709223135457
42,943,0.02417352346167839
43,2858,0.024032256110426753
44,2468,0.023811518112214047
45,153,0.023749652841823413
46,290,0.022179695354362806
47,2888,0.02160491288032756
48,3453,0.021572417875279075
49,1816,0.021067809702561006
50,3463,0.02073670416673684
51,2553,0.020464162420499542
52,1954,0.019893152350549285
53,2279,0.019439555729701942
54,2899,0.019396232371962613
55,950,0.0192011036134949
56,237,0.01889934612450512
57,3502,0.018619988128795794
58,2419,0.018525546374332444
59,3922,0.0183627898919771
60,4033,0.01829536200509166
61,4047,0.018032780693301734
62,2425,0.01743077584294662
63,27,0.017136275913710048
64,2396,0.01702305463834883
65,481,0.0165915540776563
66,1546,0.016537990806315527
67,2719,0.016212635464474667
68,392,0.015874026994687544
69,2300,0.015826947428144833
70,3711,0.01572019876081075
71,1744,0.015395829176748421
72,1948,0.015202673847830825
73,3705,0.014940629944139618
